msa_id,msa_name,carrier,bucket,state,seg_pop,total_pop,ooa,gy9,gy8,gyd,cb9,cb8,cbd,rate9,rank9
99009,FL NONMETROPOLITAN AREA,Aetna Open Choice PPO,TOTAL,,,0,0,76.43,71.66,4.77,95.35,95.65,-0.30,5514182,7
99045,WA NONMETROPOLITAN AREA,UHC PPO,TOTAL,,,0,0,39.99,51.60,-11.61,56.27,74.68,-18.41,6092046,19
99024,MS NONMETROPOLITAN AREA,Cigna OAP,TOTAL,,,0,0,44.26,56.71,-12.45,73.00,80.54,-7.54,5034995,2
99023,MN NONMETROPOLITAN AREA,Cigna OAP,TOTAL,,,0,0,2.48,2.96,-0.48,3.28,4.38,-1.10,6282405,6
99005,CA NONMETROPOLITAN AREA,UHC Choice POS Plus,TOTAL,,,0,0,34.79,59.50,-24.71,45.76,81.47,-35.71,6167269,4
99045,WA NONMETROPOLITAN AREA,Kaiser Permanente KFHP-3 WA,TOTAL,,,0,0,33.75,,,40.07,,,6085882,16
99030,NM NONMETROPOLITAN AREA,UHC POS,TOTAL,,,0,0,43.54,54.49,-10.95,66.36,79.36,-13.00,5796246,3
99004,AR NONMETROPOLITAN AREA,UHC POS,TOTAL,,,0,0,57.48,56.47,1.01,77.92,73.49,4.43,5029352,5
99005,CA NONMETROPOLITAN AREA,Cigna PPO,TOTAL,,,0,0,33.43,47.16,-13.73,41.13,78.91,-37.78,6198561,5
99035,OK NONMETROPOLITAN AREA,Cigna LocalPlus,TOTAL,,,0,0,39.09,44.34,-5.25,53.65,63.54,-9.89,5257420,6
99026,MT NONMETROPOLITAN AREA,Cigna OAP,TOTAL,,,0,0,34.69,46.05,-11.36,43.77,77.19,-33.42,6116085,3
99018,LA NONMETROPOLITAN AREA,Cigna PPO,TOTAL,,,0,0,38.94,43.86,-4.92,47.37,61.17,-13.80,5251006,7
99010,GA NONMETROPOLITAN AREA,Anthem BCBS GA Blue High Performance,TOTAL,,,0,0,75.26,54.47,20.79,91.30,69.85,21.45,6569667,13
99010,GA NONMETROPOLITAN AREA,Aetna Choice POS,TOTAL,,,0,0,84.06,83.87,0.19,97.26,96.22,1.04,6173719,4
99032,NC NONMETROPOLITAN AREA,BCBS NC Blue Value Network,TOTAL,,,0,0,63.38,68.38,-5.00,80.93,81.03,-0.10,5929087,9
99020,MD NONMETROPOLITAN AREA,Aetna Choice POS,TOTAL,,,0,0,42.14,41.98,0.16,58.70,55.22,3.48,5883087,11
99012,ID NONMETROPOLITAN AREA,UHC POS,TOTAL,,,0,0,40.44,52.00,-11.56,47.71,74.73,-27.02,5949356,3
99015,IA NONMETROPOLITAN AREA,UHC PPO,TOTAL,,,0,0,71.51,64.92,6.59,84.49,79.35,5.14,5912102,4
