row_grain,state,msa_id,msa_cbsa_name,carrier_plan_name,billing_class,setting_type,pos,presence_status,total_weighted_rate_base,total_weighted_rate_new,delta_total_weighted_rate,pct_change_total_weighted_rate,pct_carrier_mrf_spend_base,pct_carrier_mrf_spend_new,delta_pct_carrier_mrf,pct_hospital_mrf_spend_base,pct_hospital_mrf_spend_new,delta_pct_hospital_mrf,pct_imputed_spend_base,pct_imputed_spend_new,delta_pct_imputed,pct_greenyellow_base,pct_greenyellow_new,delta_pct_greenyellow,pct_red_base,pct_red_new,delta_pct_red,pct_missing_base,pct_missing_new,delta_pct_missing,spend_ratio_vs_bcbs_base,spend_ratio_vs_bcbs_new,delta_spend_ratio_vs_bcbs,n_rates_greenyellow_base,n_rates_greenyellow_new,n_msas_base,n_msas_new,n_states_in_msa_base,n_states_in_msa_new,is_multistate_msa_base,is_multistate_msa_new,is_multistate_msa,n_states_in_msa,review_label_base,review_label_new,supplementary_label_base,supplementary_label_new,label_changed,label_transition,flag_needs_review_base,flag_needs_review_new,flag_canonical_count_base,flag_canonical_count_new,review_direction,flag_big_spend_swing,flag_stoplight_swing,flag_source_swing,flag_label_changed,flag_appeared,flag_disappeared,flag_changed_any
NATIONAL,,,,Aetna Choice POS,TOTAL,TOTAL,All,BOTH,5972162,6136351,164189,2.75,61.29,66.45,5.16,12.12,10.67,-1.45,26.59,22.89,-3.7,73.41,77.11,3.7,12.71,10.03,-2.68,13.87,12.85,-1.02,0.9932,0.996,0.0028,1229477298,1551447763,925,925,,,,,,,clean,clean,clean,clean,0,,0,0,0,0,still_clean,0,0,0,0,0,0,0
NATIONAL,,,,BCBS PPO,TOTAL,TOTAL,All,BOTH,6013033,6161063,148030,2.46,44.16,49.73,5.57,15.73,14.47,-1.26,40.11,35.8,-4.31,59.89,64.2,4.31,14.2,14.22,0.02,25.91,21.58,-4.33,1,1,0,593186605,531758342,925,925,,,,,,,clean,clean,clean,clean,0,,0,0,0,0,still_clean,0,0,0,0,0,0,0
NATIONAL,,,,Cigna OAP,TOTAL,TOTAL,All,BOTH,6035480,6178449,142969,2.37,43.85,46.2,2.35,16.84,14.87,-1.97,39.31,38.93,-0.38,60.68,61.07,0.39,15.3,15.48,0.18,24.01,23.44,-0.57,1.0037,1.0028,-0.0009,176605785,185495396,925,925,,,,,,,clean,clean,clean,clean,0,,0,0,0,0,still_clean,0,0,0,0,0,0,0
NATIONAL,,,,UHC Choice POS Plus,TOTAL,TOTAL,All,BOTH,6124148,6246138,121990,1.99,42.27,48.38,6.11,17.02,15.07,-1.95,40.7,36.55,-4.15,59.3,63.45,4.15,12.83,12.67,-0.16,27.87,23.88,-3.99,1.0185,1.0138,-0.0047,179231875,358007240,925,925,,,,,,,clean,clean,clean,clean,0,,0,0,0,0,still_clean,0,0,0,0,0,0,0
NATIONAL,,,,Aetna Choice POS,institutional,inpatient,Inpatient,BOTH,1324479,1336300,11821,0.89,34.49,34.14,-0.35,37.3,37.59,0.29,28.21,28.26,0.05,71.79,71.74,-0.05,8.53,8,-0.53,19.68,20.27,0.59,0.9854,0.9813,-0.0041,879749,844095,925,925,,,,,,,clean,clean,clean,clean,0,,0,0,0,0,still_clean,0,0,0,0,0,0,0
NATIONAL,,,,BCBS PPO,institutional,inpatient,Inpatient,BOTH,1344062,1361750,17688,1.32,38.81,42.91,4.1,35.24,36.76,1.52,25.94,20.32,-5.62,74.06,79.68,5.62,9.12,9.4,0.28,16.82,10.93,-5.89,1,1,0,1243441,1514325,925,925,,,,,,,clean,clean,clean,clean,0,,0,0,0,0,still_clean,0,0,0,0,0,0,0
NATIONAL,,,,Cigna OAP,institutional,inpatient,Inpatient,BOTH,1334307,1360311,26004,1.95,40.14,45.32,5.18,32.86,30.64,-2.22,27,24.03,-2.97,73,75.97,2.97,8.67,9.63,0.96,18.33,14.41,-3.92,0.9927,0.9989,0.0062,1031761,1286352,925,925,,,,,,,clean,clean,clean,clean,0,,0,0,0,0,still_clean,0,0,0,0,0,0,0
NATIONAL,,,,UHC Choice POS Plus,institutional,inpatient,Inpatient,BOTH,1346097,1369911,23814,1.77,49.49,52.23,2.74,30.09,29.03,-1.06,20.42,18.73,-1.69,79.58,81.27,1.69,9.33,9.29,-0.04,11.09,9.45,-1.64,1.0015,1.006,0.0045,1418738,1685283,925,925,,,,,,,clean,clean,clean,clean,0,,0,0,0,0,still_clean,0,0,0,0,0,0,0
NATIONAL,,,,Aetna Choice POS,institutional,outpatient,Outpatient,BOTH,2246593,2252145,5552,0.25,57.62,66.95,9.33,10.24,6.76,-3.48,32.13,26.29,-5.84,67.87,73.71,5.84,17.48,13.36,-4.12,14.65,12.93,-1.72,1.0025,1.0022,-0.0003,2459583,3155213,925,925,,,,,,,clean,clean,clean,clean,0,,0,0,0,0,still_clean,0,0,0,0,0,0,0
NATIONAL,,,,BCBS PPO,institutional,outpatient,Outpatient,BOTH,2241085,2247160,6075,0.27,23.65,32.3,8.65,21.07,17.4,-3.67,55.29,50.3,-4.99,44.71,49.7,4.99,24.29,25.35,1.06,31,24.95,-6.05,1,1,0,2816698,3771999,925,925,,,,,,,"Low Carrier MRF, High Red",High Red,clean,clean,1,"Low Carrier MRF, High Red  ->  High Red",1,1,2,1,improved,0,0,0,1,0,0,1
NATIONAL,,,,Cigna OAP,institutional,outpatient,Outpatient,BOTH,2243606,2233704,-9902,-0.44,17.37,18.01,0.64,25.76,22.48,-3.28,56.87,59.51,2.64,43.13,40.49,-2.64,26.36,29.19,2.83,30.51,30.32,-0.19,1.0011,0.994,-0.0071,2162486,2267885,925,925,,,,,,,"Low Carrier MRF, High Red","Low Carrier MRF, High Red",clean,clean,0,,1,1,2,2,stable,0,0,0,0,0,0,0
