id,npi,cms_number,facility_name,facility_type,system_affiliation,address,city,state,zip,cbsa_code,cbsa_name,cbsa_type,urban_rural,bed_size,net_patient_revenue,commercial_payer_mix,ownership_type,active_mrf,latest_production_version,mrf_download_status,qa_status,updated_at,in_ahd
1,1013905660,021306,Providence Kodiak Island Medical Center,Critical Access,"Providence - Renton, WA",1915 Rezanof Drive,Kodiak Island,AK,99615,99002,AK NONMETROPOLITAN AREA,Metropolitan Statistical Area,Rural,24,59550372,0.4,"Voluntary Nonprofit, Church",true,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
2,1053363119,020001,Providence Alaska Medical Center,Short Term Acute Care,"Providence - Renton, WA",3200 Providence Drive,Anchorage,AK,99508,11260,"Anchorage, AK",Metropolitan Statistical Area,Urban,401,741184958,0.35,"Voluntary Nonprofit, Church",true,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
3,1063567691,020018,Yukon-Kuskokwim Delta Regional Hospital,Short Term Acute Care,"Not In Any System - ,",700 Chief Eddie Hoffman Highway,Bethel,AK,99559,99002,AK NONMETROPOLITAN AREA,Metropolitan Statistical Area,Rural,34,,0.94,"Governmental, Federal",true,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
4,1093924458,020026,Alaska Native Medical Center,Short Term Acute Care,"Not In Any System - ,",4315 Diplomacy Drive,Anchorage,AK,99508,11260,"Anchorage, AK",Metropolitan Statistical Area,Urban,153,,0.88,"Governmental, Federal",false,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
5,1093968372,021313,South Peninsula Hospital,Critical Access,"Not In Any System - ,",4300 Bartlett Street,Homer,AK,99603,99002,AK NONMETROPOLITAN AREA,Metropolitan Statistical Area,Rural,21,103617362,0.41,"Governmental, City",true,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
6,1215035787,021307,Cordova Community Medical Center,Critical Access,"Not In Any System - ,",602 Chase Avenue,Cordova,AK,99574,99002,AK NONMETROPOLITAN AREA,Metropolitan Statistical Area,Rural,13,12253339,0.37,"Proprietary, Other",true,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
7,1225101041,021308,Norton Sound Regional Hospital,Critical Access,"Not In Any System - ,",1000 Greg Kruschek Avenue,Nome,AK,99762,99002,AK NONMETROPOLITAN AREA,Metropolitan Statistical Area,Rural,18,148682148,0.32,"Voluntary Nonprofit, Other",true,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
8,1306933643,021312,Samuel Simmonds Memorial Hospital,Critical Access,"Indian Health Service - Rockville, MD",7000 Uula Street,Barrow,AK,99723,99002,AK NONMETROPOLITAN AREA,Metropolitan Statistical Area,Rural,10,57845966,0.87,"Governmental, Federal",false,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
9,1316995210,021310,Maniilaq Health Center,Critical Access,"Indian Health Service - Rockville, MD",436 Fifth Avenue,Kotzebue,AK,99752,99002,AK NONMETROPOLITAN AREA,Metropolitan Statistical Area,Rural,17,,0.8,"Governmental, Federal",false,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
10,1326597410,      ,Foundation Health Partners Denali Center,Long Term,"Foundation Health Partners - Fairbanks, AK",1510 19th Avenue,Fairbanks,AK,99701,21820,"Fairbanks-College, AK",Metropolitan Statistical Area,,,,,"Voluntary Nonprofit, Other",false,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
11,1396705539,021311,PeaceHealth Ketchikan Medical Center,Critical Access,"PeaceHealth - Bellevue, WA",3100 Tongass Avenue,Ketchikan,AK,99901,28540,"Ketchikan, AK",Micropolitan Statistical Area,Rural,25,93137920,0.34,"Voluntary Nonprofit, Church",true,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
12,1396858155,021302,Providence Seward Medical Center,Critical Access,"Providence - Renton, WA",417 First Avenue,Seward,AK,99664,99002,AK NONMETROPOLITAN AREA,Metropolitan Statistical Area,Rural,6,29525037,0.3,"Governmental, City",true,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
13,1417975061,020006,Mat-Su Regional Medical Center,Short Term Acute Care,"Community Health Systems, Inc. (CHS) - Franklin, TN",2500 South Woodworth Loop,Palmer,AK,99645,11260,"Anchorage, AK",Metropolitan Statistical Area,Rural,125,301756805,0.37,"Proprietary, Corporation",true,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
14,1417975061,020006,Mat-Su Regional Medical Center,Short Term Acute Care,"Community Health Systems, Inc. (CHS) - Franklin, TN",2500 South Woodworth Loop,Palmer,AK,99645,11260,"Anchorage, AK",Metropolitan Statistical Area,Rural,125,301756805,0.37,"Proprietary, Corporation",true,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
15,1437122843,021304,Petersburg Medical Center,Critical Access,"Not In Any System - ,",103 Fram Street,Petersburg,AK,99833,99002,AK NONMETROPOLITAN AREA,Metropolitan Statistical Area,Rural,12,17283256,0.62,"Governmental, City",true,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
16,1487629333,024001,North Star Behavioral Health,Psychiatric,"Universal Health Services, Inc. - King of Prussia, PA",2530 DeBarr Road,Anchorage,AK,99508,11260,"Anchorage, AK",Metropolitan Statistical Area,Urban,,,,"Proprietary, Corporation",true,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
17,1497842553,024002,Alaska Psychiatric Institute,Psychiatric,"Not In Any System - ,",3700 Piper Street,Anchorage,AK,99508,11260,"Anchorage, AK",Metropolitan Statistical Area,Urban,,,,Governmental Hospital District,false,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
18,1528062429,020024,Central Peninsula Hospital,Short Term Acute Care,"Not In Any System - ,",250 Hospital Place,Soldotna,AK,99669,99002,AK NONMETROPOLITAN AREA,Metropolitan Statistical Area,Rural,49,232027192,0.45,"Voluntary Nonprofit, Other",false,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
19,1700364627,021305,Wrangell Medical Center,Critical Access,"Southeast Alaska Regional Health Consortium - Juneau, AK",232 Wood Street,Wrangell,AK,99929,99002,AK NONMETROPOLITAN AREA,Metropolitan Statistical Area,Rural,8,14629935,0.41,"Governmental, Federal",false,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
20,1720062524,021314,Mt. Edgecumbe Hospital,Critical Access,"Southeast Alaska Regional Health Consortium - Juneau, AK",222 Tongass Drive,Sitka,AK,99835,27940,"Juneau, AK",Micropolitan Statistical Area,Rural,27,,0.77,"Governmental, Federal",false,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
21,1720062524,021314,Mt. Edgecumbe Hospital,Critical Access,"Southeast Alaska Regional Health Consortium - Juneau, AK",222 Tongass Drive,Sitka,AK,99835,11260,"Anchorage, AK",Metropolitan Statistical Area,Rural,27,,0.77,"Governmental, Federal",false,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
22,1720062524,021314,Mt. Edgecumbe Hospital,Critical Access,"Southeast Alaska Regional Health Consortium - Juneau, AK",222 Tongass Drive,Sitka,AK,99835,99002,AK NONMETROPOLITAN AREA,Metropolitan Statistical Area,Rural,27,,0.77,"Governmental, Federal",false,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
23,1720537178,020012,Fairbanks Memorial Hospital,Short Term Acute Care,"Foundation Health Partners - Fairbanks, AK",1650 Cowles Street,Fairbanks,AK,99701,21820,"Fairbanks-College, AK",Metropolitan Statistical Area,Urban,122,288576771,0.47,"Voluntary Nonprofit, Other",false,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
24,1750485488,021301,Providence Valdez Medical Center,Critical Access,"Providence - Renton, WA",911 Meals Avenue,Valdez,AK,99686,99002,AK NONMETROPOLITAN AREA,Metropolitan Statistical Area,Rural,11,20044647,0.39,"Governmental, City",true,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
25,1841364957,      ,Chris Kyle Patriots Hospital,Psychiatric,"Universal Health Services, Inc. - King of Prussia, PA",1650 Bragaw Street,Anchorage,AK,99508,,,,,,,,"Proprietary, Corporation",false,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
26,1891849261,020008,Bartlett Regional Hospital,Short Term Acute Care,"Not In Any System - ,",3260 Hospital Drive,Juneau,AK,99801,27940,"Juneau, AK",Micropolitan Statistical Area,Rural,45,119583359,0.4,"Governmental, City-County",true,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
27,1912965021,022001,Providence Saint Elias Specialty Hospital,Long Term,"Providence - Renton, WA",4800 Cordova Street,Anchorage,AK,99503,11260,"Anchorage, AK",Metropolitan Statistical Area,Urban,,,,"Voluntary Nonprofit, Church",true,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
28,1952348047,020017,Alaska Regional Hospital,Short Term Acute Care,"HCA Healthcare - Nashville, TN",2801 DeBarr Road,Anchorage,AK,99508,11260,"Anchorage, AK",Metropolitan Statistical Area,Urban,169,355220505,0.33,"Proprietary, Corporation",true,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
29,1962688309,021309,Kanakanak Hospital,Critical Access,"Indian Health Service - Rockville, MD",6000 Kanakanak Road,Dillingham,AK,99576,99002,AK NONMETROPOLITAN AREA,Metropolitan Statistical Area,Rural,18,,0.84,"Governmental, Federal",false,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
30,1003260480,010139,Brookwood Baptist  Medical Center,Short Term Acute Care,"Brookwood Baptist Health - Birmingham, AL",2010 Brookwood Medical Center Drive,Birmingham,AL,35209,13820,"Birmingham, AL",Metropolitan Statistical Area,Urban,429,304848547,0.46,"Proprietary, Corporation",true,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
31,1003814971,010144,Springhill Medical Center,Short Term Acute Care,"Not In Any System - ,",3719 Dauphin Street,Mobile,AL,36608,33660,"Mobile, AL",Metropolitan Statistical Area,Urban,179,216217291,0.37,"Proprietary, Corporation",true,2026_04v9,,,2026-06-12 22:45:29.161657 UTC,true
