msa_cbsa_name,carrier_plan_name,v5_spend_per_1k,v5_rate_rank,v6_spend_per_1k,v6_rate_rank,v7_spend_per_1k,v7_rate_rank
AK NONMETROPOLITAN AREA,Aetna Choice POS,8582411.0,3,8151887.0,6,8154630.0,5
AK NONMETROPOLITAN AREA,Aetna Open Choice PPO,8586879.0,4,7942556.0,4,8152793.0,4
AK NONMETROPOLITAN AREA,BCBS PPO,,,8102538.0,5,,
AK NONMETROPOLITAN AREA,Cigna LocalPlus,,,7910426.0,3,7942826.0,1
AK NONMETROPOLITAN AREA,Cigna OAP,8513758.0,2,7893884.0,2,8077308.0,3
AK NONMETROPOLITAN AREA,Cigna PPO,8510804.0,1,7887204.0,1,8070733.0,2
AK NONMETROPOLITAN AREA,UHC Choice POS Plus,,,8348564.0,7,8264254.0,6
AK NONMETROPOLITAN AREA,UHC POS,8839346.0,5,8359426.0,8,8269861.0,7
AK NONMETROPOLITAN AREA,UHC PPO,,,8365562.0,9,8272158.0,8
AL NONMETROPOLITAN AREA,Aetna Choice POS,4686917.0,6,4425592.0,8,4876679.0,8
AL NONMETROPOLITAN AREA,Aetna Open Choice PPO,4666294.0,5,4426445.0,9,4876630.0,7
AL NONMETROPOLITAN AREA,BCBS PPO,4609734.0,4,4371776.0,7,4892714.0,9
AL NONMETROPOLITAN AREA,Cigna LocalPlus,,,4251304.0,3,4762820.0,3
AL NONMETROPOLITAN AREA,Cigna OAP,4547453.0,2,4240968.0,1,4733705.0,2
AL NONMETROPOLITAN AREA,Cigna PPO,4543828.0,1,4242321.0,2,4732185.0,1
AL NONMETROPOLITAN AREA,UHC Choice POS Plus,,,4337620.0,5,4811350.0,5
AL NONMETROPOLITAN AREA,UHC POS,4586637.0,3,4336892.0,4,4806723.0,4
AL NONMETROPOLITAN AREA,UHC PPO,,,4355805.0,6,4828621.0,6
AR NONMETROPOLITAN AREA,Aetna Choice POS,5075844.0,5,4814521.0,8,5313735.0,8
AR NONMETROPOLITAN AREA,Aetna Open Choice PPO,5082216.0,6,4847181.0,9,5315705.0,9
AR NONMETROPOLITAN AREA,BCBS PPO,4807359.0,4,4691556.0,7,5144238.0,7
AR NONMETROPOLITAN AREA,Cigna LocalPlus,,,4565582.0,1,5067171.0,4
AR NONMETROPOLITAN AREA,Cigna OAP,4685809.0,1,4583000.0,5,5082036.0,5
AR NONMETROPOLITAN AREA,Cigna PPO,4732932.0,2,4572040.0,2,5086693.0,6
AR NONMETROPOLITAN AREA,UHC Choice POS Plus,,,4588940.0,6,5055661.0,2
AR NONMETROPOLITAN AREA,UHC POS,4758264.0,3,4576942.0,3,5055338.0,1
AR NONMETROPOLITAN AREA,UHC PPO,,,4579568.0,4,5058290.0,3
AZ NONMETROPOLITAN AREA,Aetna Choice POS,5467411.0,6,5380451.0,9,5721666.0,5
AZ NONMETROPOLITAN AREA,Aetna Open Choice PPO,5444997.0,5,5319136.0,8,5721830.0,6
