version,msa_cbsa_name,carrier_plan_name,billing_class,setting_type,total_weighted_rate,pct_codebasket_spend_in_postprocess,pct_greenyellow_spend_total,n_npi_greenyellow,n_billingcodes_greenyellow,n_rates_greenyellow,anchor_total_weighted_rate,anchor_carrier_plan_name,pct_diff_from_anchor,outlier_check
v7,AK NONMETROPOLITAN AREA,Aetna Choice POS,TOTAL,TOTAL,8154630,78.95,45.15,1210,1694,95750,8077308,Cigna OAP,0.01,0
v7,AK NONMETROPOLITAN AREA,Aetna Choice POS,institutional,inpatient,1410694,59.44,26.59,7,215,427,1410694,Aetna Choice POS,0,0
v7,AK NONMETROPOLITAN AREA,Aetna Choice POS,institutional,outpatient,2380678,77.82,38.14,45,676,3262,2380678,Aetna Choice POS,0,0
v7,AK NONMETROPOLITAN AREA,Aetna Choice POS,professional,outpatient,4363258,86.87,54.97,1199,1060,92061,4240151,Cigna OAP,0.029,0
v7,AK NONMETROPOLITAN AREA,Aetna Open Choice PPO,TOTAL,TOTAL,8152793,78.9,45.16,1212,1685,95823,8077308,Cigna OAP,0.009,0
v7,AK NONMETROPOLITAN AREA,Aetna Open Choice PPO,institutional,inpatient,1410694,59.44,26.59,7,215,427,1410694,Aetna Choice POS,0,0
v7,AK NONMETROPOLITAN AREA,Aetna Open Choice PPO,institutional,outpatient,2380678,77.82,38.14,45,676,3262,2380678,Aetna Choice POS,0,0
v7,AK NONMETROPOLITAN AREA,Aetna Open Choice PPO,professional,outpatient,4361421,86.77,55.01,1201,1051,92134,4240151,Cigna OAP,0.029,0
v7,AK NONMETROPOLITAN AREA,Cigna LocalPlus,TOTAL,TOTAL,7942826,45.73,18.52,316,1202,52488,8077308,Cigna OAP,-0.017,0
v7,AK NONMETROPOLITAN AREA,Cigna LocalPlus,institutional,inpatient,1413886,3.04,1.37,1,2,2,1410694,Aetna Choice POS,0.002,0
v7,AK NONMETROPOLITAN AREA,Cigna LocalPlus,institutional,outpatient,2420285,16.95,3.57,1,61,61,2380678,Aetna Choice POS,0.017,0
v7,AK NONMETROPOLITAN AREA,Cigna LocalPlus,professional,outpatient,4108655,81.7,33.23,314,1172,52425,4240151,Cigna OAP,-0.031,0
v7,AK NONMETROPOLITAN AREA,Cigna OAP,TOTAL,TOTAL,8077308,22.01,10.17,334,782,38865,8077308,Cigna OAP,0,0
v7,AK NONMETROPOLITAN AREA,Cigna OAP,institutional,inpatient,1413886,3.04,1.37,1,2,2,1410694,Aetna Choice POS,0.002,0
v7,AK NONMETROPOLITAN AREA,Cigna OAP,institutional,outpatient,2423271,10.25,2.32,1,44,44,2380678,Aetna Choice POS,0.018,0
v7,AK NONMETROPOLITAN AREA,Cigna OAP,professional,outpatient,4240151,36.78,17.6,332,743,38819,4240151,Cigna OAP,0,0
v7,AK NONMETROPOLITAN AREA,Cigna PPO,TOTAL,TOTAL,8070733,22.14,10.26,350,821,45432,8077308,Cigna OAP,-0.001,0
v7,AK NONMETROPOLITAN AREA,Cigna PPO,institutional,inpatient,1413886,3.04,1.37,1,2,2,1410694,Aetna Choice POS,0.002,0
v7,AK NONMETROPOLITAN AREA,Cigna PPO,institutional,outpatient,2423271,10.25,2.32,1,44,44,2380678,Aetna Choice POS,0.018,0
v7,AK NONMETROPOLITAN AREA,Cigna PPO,professional,outpatient,4233577,37.06,17.78,348,784,45386,4240151,Cigna OAP,-0.002,0
v7,AK NONMETROPOLITAN AREA,UHC Choice POS Plus,TOTAL,TOTAL,8264254,56.44,38.92,632,1301,108852,8077308,Cigna OAP,0.023,0
v7,AK NONMETROPOLITAN AREA,UHC Choice POS Plus,institutional,inpatient,1428503,59.63,24.71,3,195,311,1410694,Aetna Choice POS,0.013,0
